text_procesado,label
invincible werner herzog alive well living la,1
"morton great actress portraying complex character , morvern callar grows less compelling farther meander shocking start .",1
part charm satin rouge avoids obvious humour lightness .,1
son bride may good half-hour long come replete flattering sense mystery quietness .,1
simmering psychological drama burst sudden violence startling slow buildup preceded .,1
"taut , intelligent psychological drama .",1
compelling coming-of-age drama arduous journey sensitive young girl series foster home fierce struggle pull free dangerous domineering mother 's hold .,1
"truly moving experience , perfect example art -- done right -- help heal , clarify , comfort .",1
"delicately observed story , deeply felt masterfully stylized , triumph maverick director .",1
heart movie deftly wrought suspense yarn whose richer shading work coloring rather substance .,1
"appearance treebeard gollum 's expanded role either loving 're seeing , rolling eye . loved ! gollum 's 'performance ' incredible !",1
screenplay ingeniously constructed `` memento ``,1
"movie book , would page-turner , ca n't wait see happens next .",1
haneke challenge u confront reality sexual aberration .,1
absorbing disturbing -- perhaps disturbing originally intended -- little clarity would gone long way .,1
"'s best film year far , benchmark best picture contender measured .",1
"painful watch , viewer willing take chance rewarded two year 's accomplished riveting film performance .",1
"startling film give fascinating , albeit depressing view iranian rural life close iraqi border .",1
imaginative comedy/thriller .,1
"artsy flourish aside , narc gritty movie get day .",1
"isle preposterous thoroughly misogynistic , vista incredibly beautiful look .",1
"together , tok orchestrate buoyant , darkly funny dance death . process , demonstrate 's still lot life hong kong cinema .",1
"director kapur filmmaker real flair epic landscape adventure , better film earlier english-language movie , overpraised elizabeth .",1
"movie blast educational energy , bouncy animation catchy song escort entire 85 minute .",1
sport movie action 's exciting field story care .,1
"doug liman , director bourne , directs traffic well , get nice wintry look location , absorbs u movie 's spycraft us damon 's ability focused sincere .",1
tenderness piece still intact .,1
"katz us archival footage , horrifying document lynching , still photograph charming old reel-to-reel recording meeropol entertaining child create song history , powerful song",1
"like film 's almost anthropologically detailed realization early-'80s suburbia , 's significant without overstated .",1
mcfarlane 's animation lift film firmly level coming-of-age film . . . 's also jarring 's hard get back boy ' story .,1
"nothing else , movie introduces promising , unusual kind psychological horror .",1
"normal screen process , bromide would barely enough sustain interstitial program discovery channel . imax 3-d , clichés disappear vertiginous perspective opened photography .",1
writer-director burger imaginatively fan ember dormant national grief curiosity calcified chronic cynicism fear .,1
. . . roller-coaster ride movie,1
"enjoyed time favor watching , surprised quickly faded memory .",1
"chicago sophisticated , brash , sardonic , completely joyful execution .",1
steve irwin 's method ernest hemmingway accelerated speed volume .,1
refreshing korean film five female high school friend face uphill battle try take relationship deeper water .,1
"surface , 's lovers-on-the-run crime flick , lot common piesiewicz 's kieslowski 's earlier work , film like double life veronique .",1
"value held enterprise crew together previous adventure peril again-courage , self-sacrifice patience pressure .",1
"'s possible sequel outshine original , sl2 .",1
romantic comedy operates rule self-contained universe .,1
"4 friend , 2 couple , 2000 mile , pabst blue ribbon beer drink - 's ultimate redneck road-trip .",1
film often filled sense pure wonderment excitement often seen today 's cinema du sarcasm,1
"might tempting regard mr . andrew collaborator oddball , mr . earnhart 's quizzical , charming movie allows u see , finally , artist .",1
feel-good picture best sense term .,1
"edited shot syncopated style mimicking work subject , pray turn idea documentary head , making rousing , invigorating fun lacking mtv puffery .",1
"mostly intelligent , engrossing psychologically resonant suspenser .",1
"'s memory-as-identity obviation give secret life intermittent unease , reaffirming long-held illusion indeed reality , erasing recasts self .",1
"hip-hop history , 's metaphor love story .",1
"scope , ambition accomplishment , child century . . . take kurys ' career whole new level .",1
"may dramatic gut-wrenching impact holocaust film , 's compelling story , mainly way 's told people .",1
"drama cube ? personal revelation regarding shop mean big picture , iconic character gambol fluidly story , charming result .",1
"gentle , compassionate drama grief healing .",1
"somewhere short tremor modern b-scene : neither funny clever , though agreeably unpretentious way spend ninety minute .",1
digital-video documentary stand-up comedian great glimpse different world .,1
"unlike teen flick , swimming take time tell story , cast mostly little-known performer key role , introduces intriguing ambiguity .",1
"enthralling , playful film constantly frustrates desire know 'truth ' man , deconstructing format biography manner derrida would doubtless give blessing .",1
"`` extreme ops `` exceeds expectation . good fun , good action , good acting , good dialogue , good pace , good cinematography .",1
pay nine buck : hear suffering afghan refugee news still unaffected . drama like make human .,1
"thunderous ride first , quiet cadence pure finesse far ; shortage dilutes potency otherwise respectable action . still , flick fun , host truly excellent sequence .",1
"'s obviously struck responsive chord many south korean , work magic part world .",1
"run , n't walk , see barbed bracing comedy big screen .",1
classy item legend may nothing left prove still chop drive show done .,1
"nature progress . fessenden 's horror trilogy , theme proved important especially finale .",1
"'s exactly gourmet meal fare fair , even coming drive-thru .",1
"imax made : strap pair 3-d goggles , shut real world , take vicarious voyage last frontier -- space .",1
"merely technical , logistical feat , russian ark mark cinematic milestone .",1
"[ schweiger ] talented terribly charismatic , quality essential movie star social anarchist .",1
's great deal sizzle little steak . spectacular sizzle ! . . . incarnation fizz infectious .,1
original gem obsession time .,1
delight newcomer story know bygone day .,1
gloriously goofy ( gory ) midnight movie stuff .,1
film overcomes regular minefield coming-of-age cliche potent dos honesty sensitivity .,1
"sens n't dulled slasher film gorefests , 're connoisseur psychological horror , ticket .",1
"'s minor comedy try balance sweetness coarseness , paint sad picture single scene .",1
intensely personal yet -- unlike quill -- deftly show u temper time .,1
"lo-fi special effect , folk cobbled nemesis together indulge force humanity hardware way george lucas long forgotten .",1
"like mike n't win point originality . succeed following feel-good formula winning style , offering target audience urban kid welcome role model optimism .",1
"'s hoot half , great way american people see candidate like 's giving 15-cent stump speech .",1
"far perfect , heart right place . . . innocent well-meaning .",1
"sad , superior human comedy played back road life .",1
"waydowntown mean perfect film , boast huge charm factor smack originality .",1
"tim allen great role never hog scene fellow cast , plenty laugh good line everyone comedy .",1
"load enjoyable , conan-esque claptrap punishing , special-effects soul assault mummy picture represent .",1
"enormously likable , partly aware grasp absurd .",1
"'s british flick gleefully unconcerned plausibility , yet determined entertain .",1
"'s old story , lively script , sharp acting partially animated interlude make kiss seem minty fresh .",1
must seen believed .,1
"ray liotta jason patric best work underwritten role , n't fooled : nobody deserves prize .",1
"everything yvan charlotte , everything yvan 's rambunctious , jewish sister non-jew husband , feel funny true .",1
"sweet home alabama ``  nice , harmless date film . . .",1
"year 's happiest surprise , movie deal real subject always surprising way .",1
fan behan 's work irish movie general rewarded borstal boy .,1
"mystery transparently obvious , 's slowly paced thriller . [ 's ] worth recommending two marvelous performance michael caine brendan fraser .",1
"film faithful one presumes book 's twin premise -- become back parent , idea age ; time fleeting precious commodity matter old .",1
stephen earnhart 's homespun documentary mule skinner blue nothing love posse trailer park denizen .,1
solidly seaworthy chiller .,1
get past fantastical aspect harsh reality `` isle `` 'll get sock-you-in-the-eye flick visual tour-de-force story unlike likely see anywhere else .,1
"many miss hit , ultimately , find humor foible human behavior , 's welcome return root genre depend surprise .",1
well-made thriller certain level intelligence non-reactionary morality .,1
"'s enough science make count educational , enough beauty make unforgettable .",1
"remains solid , somewhat heavy-handed , account near-disaster . . . done howard steady , imaginative , hand .",1
makmalbaf follows resolutely realistic path uncompromising insight harsh existence kurdish refugee iran 's borderland .,1
"good chunk running time , trapped effective claustrophobic thriller .",1
crush clever captivating romantic comedy welcome pinch tartness .,1
nair capture complexity big family trial tribulation . . .,1
"seaside splendor shallow , beautiful people nice look wait story get going .",1
rare 'urban comedy ' even attempt insight honesty disarming indie .,1
rank among willams ' best screen work .,1
engagingly capture maddening magnetic ebb flow friendship .,1
experience engrossing like buried new environment .,1
"'s traditional moviemaking way , 's done lot careful period attention well welcome wit .",1
thoroughly enjoyable .,1
"maybe 's past year seen release worst film comedy decade . . . honestly , analyze really n't bad .",1
"droll , well-acted , character-driven comedy unexpected deposit feeling .",1
simply fun 'll ever documentary !,1
funny movie .,1
"watching haneke 's film , aptly enough , challenge punishment . watching huppert , great actress tearing landmark role , riveting .",1
cop story understands medium amazingly well .,1
"one best , understated performance [ jack nicholson 's ] career .",1
"britney delivered big screen safe sound , way like 20-year-old superstar girl travel fame freeway .",1
outside show business enjoy close look people n't really want know .,1
kind nervous film either give mild headache exhilarate .,1
watching beanie gang put together slasher video spare part borrowed material much fun must make .,1
"child may understand everything happens -- 'm sure even miyazaki -- almost certainly fascinated , undoubtedly delighted .",1
fascinating fun film .,1
"tadpole sophisticated , funny good-natured treat , slight pleasure .",1
"insightful , oscar-nominated documentary , child side ever-escalating conflict say away watchful parental eye , give peace yet another chance .",1
admired work lot .,1
"whether 're moved love , bored frustrated film , 'll still feel something .",1
. . . enough moment heartbreaking honesty keep one glued screen .,1
"goodness , queen latifah lot offer seemed problem flaunting natural gift . must strong back .",1
"smart , sweet playful romantic comedy .",1
australian actor/director john polson award-winning english cinematographer giles nuttgens make terrific effort disguising obvious energy innovation .,1
"without heavy-handedness , dong provides perspective intelligent grasp human foible contradiction .",1
"solid , lump-in-the-throat family entertainment derives power sticking fact .",1
"entertainment , movie keep diverted best , lightens wallet without leaving sting .",1
interesting fun see goodall chimpanzee bigger-than-life screen .,1
wo n't bust gut -- 's intended -- 's merely blandly cinematic surgical examination make joke joke .,1
"somewhat crudely constructed gripping , questing look person racked self-loathing , becomes enemy race .",1
"extends writing jean genet john rechy , film fassbinder , perhaps even nocturnal work goya .",1
"narc may get ' ' originality , wear b-movie heritage like badge honor .",1
"film 's striking ending , one realizes long way go fully understand sexual permutation involved .",1
"[ drumline ] entertaining , admirable n't .",1
best early play culture clash brother .,1
"[ ] rare , beautiful film .",1
unabashedly schmaltzy thoroughly enjoyable true story .,1
thoughtful look painful incident made headline 1995 .,1
walk good girl mixed emotion  disapproval justine combined tinge understanding action .,1
tsai ming-liang taken trademark style refined crystalline point .,1
"purely propaganda , work unabashed hero worship , nonetheless -- likely inadvertently -- timely invaluable implicit reminder role u . . foreign policy played rise castro .",1
"trimmed 20 minute , lavish three-year-old production enough grandeur scale satisfy grown-up escapism .",1
get truly unique character study cross-section americana hollywood could n't possibly fictionalize believed .,1
"though film clumsy , ambition equally -- admirably -- uncommercial .",1
"daring , mesmerizing exceedingly hard forget .",1
dangerous life altar boy ' take adolescence feel painfully true .,1
moore 's performance impress almost much work haynes 1995 's safe .,1
"visit spy-movie territory like novel ca n't put , examines footnote history seldom brought light screen , keep guessing first frame last .",1
"absorbing , slice-of-depression life touch nerve ring true .",1
"mr . parker brilliantly updated source grasped essence , composing sorrowful hilarious tone poem alienated labor , absurdist workplace sitcom .",1
result something quite fresh delightful .,1
persnickety preteen enjoy nonthreatening thrilling adventure .,1
despite many infuriating flaw -- least amy 's self-absorbed personality -- amy 's 's honesty win .,1
one polanski 's best film .,1
"day great bond movie , good bond movie , still make much better typical bond knock-offs .",1
polished korean political-action film good -- bad -- hollywood action epic . progress ?,1
"elling , portrayed quiet fastidiousness per christian ellefsen , truly singular character , one whose frailty slightly magnified version one vex nearly everyone .",1
denis co-writer michele petin 's impeccable screenplay penetrates rawness unflinching tantalizing . lead provocatuers testud parmentier give superlative performance,1
"absorbing trip mind motivation people stress well keen , unsentimental look variation theme motherhood .",1
"admired , particularly unexpected downer ending .",1
"passion aroused discord old new culture set strange , stark beauty mideast desert , lovingly perceptively filmed almost taste desiccated air .",1
remarkably accessible affecting .,1
"never mind whether buy stuff barris cia hit man . kooky yet shadowy vision clooney sustains throughout daring , inventive impressive .",1
"triumph art direction narrative , art direction !",1
behan knew spin tale one ca n't help think 'd appreciate attempt turn life art .,1
"jirí hubac 's script gem . character engaging , intimate dialogue realistic greatly moving . scope silberstein family large grow attached life , full strength , warmth vitality . .",1
"moore 's complex important film also , believe , immensely entertaining , david goliath story 's still much playing .",1
"additional storyline interesting entertaining , n't magical quality beginning story . like new footage still love old stuff .",1
"though mama take bit long find rhythm third-act plot development somewhat melodramatic , ribald humor touching nostalgia sure please anyone search jules jim new millennium .",1
might buy idea . 'll definitely want t-shirt .,1
provides intriguing window imagination hermetic analysis todd solondz .,1
"windtalker shapelessly gratifying , kind movie invite pick apart fault even admit somehow hit live .",1
present astute appraisal middle american musical torpor desperate struggle escape .,1
"make u happy , anyway ?",1
"thoughtful , moving piece face difficult issue honesty beauty .",1
one greatest romantic comedy past decade .,1
"would n't call good girl date movie ( anti-date movie like ) , 's good , 's good horrid .",1
"benefit strong performance zhao , 's dong jie 's face remember end .",1
film brimming detail nuance one speaks volume ability human spirit find solace event could easily crush forever .,1
"director , steven shainberg , succeeded focusing intently character , making quirky individual rather figure fun .",1
ultimately stand forth important chronicle abuse one latin america 's oppressive regime .,1
"movie soft , percolating magic , deadpan suspense .",1
well-made often lovely depiction mystery friendship .,1
"using audience figurative port-of-call , dong pull even-handed ideological ship dock unloading , continues longer journey still ahead .",1
. . . understands generation defines music much music defines generation .,1
transporter lively fun unapologetically dumb,1
"witness several greek-american wedding -- , happily , victim none -- testify comparative accuracy m . vardalos ' memory insight .",1
ever possible say williams truly inhabited character ? .,1
"presenting impossible romance impossible world , pumpkin dare u say either impossible -- force u confront 's possible might make .",1
"impressive debut first-time writer-director mark romanek , especially considering background music video .",1
"incendiary , deeply thought-provoking look one peculiar ( peculiarly venomous ) bigotry increasingly frightening theocracy",1
"performance top notch , get accent , nothing becomes emotional , though still positive , wrench sit .",1
`` success also tempered element prove direct antithesis get right . ``,1
's solid affecting exactly thought-provoking .,1
dazzlingly self-assured directorial debut 's hard know praise first .,1
"parker hold true wilde 's vision pure comedy absolutely meaning , desire anything polished , sophisticated entertainment love cleverness .",1
münch 's genuine insight make film 's occasional overindulgence forgivable .,1
"thankfully , film , skirt rapidly deteriorating line fantasy reality . . . take tongue-in-cheek attitude even push croc hunter agenda .",1
"ultimately , message trouble every day seems sexual desire disrupts life 's stasis .",1
"'re like , sucker good old fashion romance someone shamelessly love eat , mostly martha offer perfect ingredient satisfy appetite .",1
"film enough everything -- re-enactments , archival footage , talking-head interview -- music simply sublime .",1
"stab absurdist comedy . . . mostly humor sweet , gentle occasionally cloying kind become iranian specialty .",1
wonderful character-based comedy .,1
"would interesting hear side , talk , woman count .",1
endearingly offbeat romantic comedy great meet-cute gimmick .,1
"unique tug-of-war viewer expectation undeniable , pleasure right .",1
"us old-time formula , 's terribly original 's rather messy -- love big , dumb , happy movie big fat greek wedding .",1
's almost impossible moved movie 's depiction sacrifice stirring epilogue post-soviet russia .,1
"know exactly godard film , word image n't add mesmerize .",1
"tone balanced , reflective reasonable .",1
"principal cast fine , bishop stevenson standouts .",1
"could change america , full necessary discussion point , accessible make complex politics understandable viewer looking nothing energetic entertainment .",1
's striking largely celebratory film . . . sense isolation permeates bastion individuality ikea world .,1
". . . 're mind set goofy comedy , trooper entertain gross out , bawdy comedy head game .",1
"somewhat blurred , kinnear 's performance razor sharp .",1
"director , mr . ratliff wisely reject temptation make fun subject .",1
"anyone remembers '60s interested one man 's response stroke , ram das : fierce grace worth seeking .",1
"intriguing beautiful film , read book likely disappointed .",1
"new guy heart . , brain .",1
savvy exploration paranoia insecurity america 's culture fear .,1
"legendary irish writer brendan behan 's memoir , borstal boy , given loving screen transferral .",1
"film 's greatest asset much 's another connect-the-dots , spy-on-the-run picture .",1
clever caper movie twist worthy david mamet enormous fun thinking audience .,1
's one saddest film ever seen still manages uplifting overly sentimental .,1
"morton , usual , brilliant .",1
"even rough edge safely sanded , american insomnia still pretty darned good .",1
"n't know precisely make steven soderbergh 's full frontal , though n't stop enjoying much .",1
tug war ensues much snapshot modern china microcosm crash course movie mythology .,1
"nearly surreal , dabbling french , simple movie , 'll taking risk choose see . enjoyed ride ( bump ) , creamy depth , ultimate theme .",1
"could say 's slow time , could say character act way real people would n't , one thing could n't say alias betty predictable .",1
"asia author anna battista , italian superstar aspiring directress happens worst enemy .",1
"roman coppola may never become filmmaker dad , heck  filmmaker . based cq , 'll certainly keeping eye next project .",1
"amusing , breezily apolitical documentary life campaign trail .",1
"high melodrama . 's emotionally engrossing , , thanks strong , credible performance whole cast .",1
"finally , genre movie delivers -- couple genre , less .",1
"'s much enjoyable watch enlightening listen new side previous reality , visit people able make impact theater world .",1
"spielberg rare director want invite viewer gawk applaud special effect . want part action , wallpaper chosen reality . , thankfully , .",1
post 9/11 philosophical message `` personal freedom first `` might palatable intended .,1
"hu liu offer natural , matter-of-fact performance glint sorrow , longing love .",1
bold lyrical first feature raja amari expands pat notion middle-aged woman wan na fun rousing treatise sensual empowerment .,1
"easier respect enthuse , andersson 's rigorous personal vision distanced distancing .",1
girl gone wild gone civil,1
". . . tunney allowed build uncommonly human character , almost real-live girl complete trouble hope .",1
"film least surprising , still ultimately satisfying . think sort comfort food mind .",1
"clever , brutal strangely soulful movie .",1
. . . always remains movingly genuine .,1
intelligent fiction learning cultural clash .,1
grab child imagination amaze amuse .,1
remarkable 179-minute meditation nature revolution .,1
"would follow haneke creepy exploration . . . rewarded brutal , committed performance huppert magimel .",1
involving true story chinese actor take drug wind institution -- acted mostly actual people involved .,1
hand year 's thought-provoking film . pay price intricate intellectual gamesmanship .,1
's terrific american sport movie dennis quaid athletic heart .,1
"high-energy movie drumming marching excellent , care story 's little weak .",1
"compelling revenge thriller , though somewhat weakened miscast leading lady .",1
"'s amazingly perceptive subtle , supportive unsentimental look mark family .",1
"whole lot foul , freaky funny .",1
family fare .,1
attal mix comedy serious exploration ego jealousy within seemingly serene marriage .,1
"diversity artist represented , term style ethnicity , prevents proceeding feeling repetitious , appropriately brief 40-minute running time .",1
"pianist fine valedictory work polanski , made richer experience , making movie somehow richer bargain .",1
"foster nail role , giving tight , focused performance illuminated shard feeling .",1
"even ca n't pronounce `` gyro `` correctly , 'll appreciate much vardalos ' humor , transcends ethnic boundary .",1
office work really alienating 'bartleby ' effectively make ?,1
farrell . . . thankfully manages outshine role successfully play foil willis 's world-weary colonel .,1
"audience conditioned getting weepy saucer-eyed , downy-cheeked moppet empathetic caretaker probably feel emotionally cheated film 's tart , sugar-free wit .",1
bennett 's dramatization personal descent post-breakup perdition morbid appeal 's tough shake .,1
intriguing entertaining introduction johnson .,1
"expected , sayles ' smart wordplay clever plot contrivance sharp ever , though may overshadowed strong performance .",1
model film like like .,1
"weber weissman demonstrate insight celebratory verve , cockettes n't much gender , sexual preference political agitprop simply triumph indomitable human rebel , connect create .",1
"yeah , flick damn good . n't great ?",1
unbelievably fun film leading man away perfection .,1
"over-the-top bit ostentatious , movie 's got oodles style substance .",1
. . . poignant powerful narrative reveals reading writing arithmetic subject learn life .,1
nicely serf examination society transition .,1
"boisterous , heartfelt comedy .",1
"tender touching drama , based true story troubled african-american 's quest come term origin , reveals yearning heart acceptance within family circle .",1
randy film sexy people gorgeous place pushed pulled ( literally figuratively ) desire . . . [ sex lucía ] make arousing good time .,1
absorbing character study andré turpin .,1
"celebrated sundance , slight comedy manner winning performance glossy , glib charm 's hard beat .",1
"renner 's performance dahmer unforgettable , deeply absorbing .",1
"one single performance award-worthy , 's would expect nothing less bunch .",1
"love reading and/or poetry , mean check . 'll probably love .",1
"though particular interest student enthusiast international dance world music , film designed make viewer age , cultural background rhythmic ability want get dance .",1
energetic boldly provocative .,1
star war back major way .,1
's movie -- album -- wo n't want miss .,1
"'s rare find film dazzle eye , challenge brain , satisfies lust fast-paced action , minority report delivers whole lot .",1
"transition adulthood fraught , 's much truth small amount poetry girl ca n't swim .",1
"'s nothing fresh wannabe , written mr . demeo , produced directed film charles . addessi , much time movie feel authentic .",1
jacquot 's tosca treat .,1
"end thing audience , like beatrice , watchful affection monster .",1
"liked movie notting hill , four wedding funeral , bridget jones ' diary high fidelity , wo n't want miss boy .",1
. . . gentle melding drama comedy make `` time ? `` something true film buff enjoy .,1
"romanek keep film constantly taut . . . reflecting character 's instability metaphorical visual style unnerving , heartbeat-like score .",1
whole-heartedly recommend everyone see movie -- historical significance alone .,1
"hey , else need shower ?",1
"longley constructed remarkably coherent , horrifically vivid snapshot turbulent day .",1
"although bang cliched drum time , crowd-pleaser 's fresh dialogue , energetic music , good-natured spunk often infectious .",1
"often gruelling heartbreaking witness , seldahl wollter 's sterling performance raise far level usual maudlin disease movie .",1
go see enjoy .,1
"stunning , dreamlike visuals impress even viewer little patience euro-film pretension .",1
george clooney prof 's quite talented director sam rockwell show u 's world-class actor confession dangerous mind .,1
's vastness implied metropolis breathtaking .,1
murderous maid may well comprehensive film also strike closest truth .,1
"people dogtown z-boys funny , aggressive alive , watch ca n't wait see next .",1
"green-guts monster movie go , 's beaut .",1
"bundy , michael reilly burke ( octopus 2 : river fear ) right amount charisma menace .",1
"deceivingly simple film , one grows power retrospect .",1
"ana vivid , vibrant individual movie 's focus upon make successful accessible .",1
"slick , skillful little horror film .",1
"witty take change , risk romance , film us humour make point acceptance growth .",1
[ anderson ] us hit-or-miss aesthetic hit often enough keep film entertaining even none make lick sense .,1
bubba ho-tep wonderful film bravura lead performance bruce campbell n't deserve leave building everyone aware .,1
"despite long running time , pace never feel slack -- 's scene scream `` bathroom break ! ``",1
bullock good job working natural likability .,1
film precious increment artfully camouflaged everyday activity .,1
kinnear give tremendous performance .,1
"best movie kind since 'brazil . ' lucas , take note . use special effect .",1
"`` frailty `` written well , even simple `` goddammit ! `` near end take whole meaning .",1
one hour photo intriguing snapshot one man delusion ; 's bad n't flash insight .,1
kaufman creates eerie sense time event night matthew killed .,1
"chalk adoration de niro murphy , pretty good time movie - despite myriad flaw .",1
"scene sensibility familiar , exudes kind nostalgic spy-movie charm , time , fresh free usual thriller nonsense seems happening first time .",1
"represents better-than-average movie-making n't demand dumb , distracted audience .",1
charming yet poignant tale irrevocable tie bind .,1
enchanting spectacular potter fan anxious ride hogwarts express toward new year magic mischief .,1
talent actor help `` moonlight mile `` rise heart-on-its-sleeve writing .,1
"'s humble effort , spiced wry humor genuine pathos , especially morgan redgrave .",1
examination aquatic life shore baja california peninsula mexico offer engrossing way demonstrate virtue imax format .,1
"dark disturbing , also surprisingly funny .",1
movie avalanche eye-popping visual effect .,1
"start bang , fizzle like wet stick dynamite end . 's still worth look .",1
"impressive , though , film 's open-ended finale refuse entirely close character ' emotional wound .",1
"hip ride hyper-time , clockstoppers lively enjoyable adventure age time .",1
"grenier terrific , bringing unforced , rapid-fire delivery toback 's heidegger- nietzsche-referencing dialogue .",1
. . . polished relatively sincere piece escapism .,1
"story wrap back around kind elegant symmetry 's rare film today , warned : 's slow slog get .",1
"whole cast look much fun slapstick antic silly street patois , tossing around obscure expression like bellini mullinski , compact 86 minute breeze .",1
". . . freaky scene crew wonder 're ghost imagining alive . 's sly wink others without becoming postmodern joke , made creepy `` men sardine `` warped logic .",1
"long leave justine , 'll wondering happen wishing best -- whatever might mean .",1
"still pretentious filled subtext , entertaining enough 'face value ' recommend anyone looking something different .",1
"call wimp , cried , , three time animated sweet film .",1
notorious c . h . . oodles vulgar highlight .,1
inspiring heart-affecting film desperate attempt vietnamese refugee living u . . relocation camp keep hope alive 1975 .,1
"level maturity displayed 33-year-old first-time feature director astonishing , considering inexperience subject matter .",1
"splendid entertainment , young spirit accomplished aspect fullness spirit sense ease come experience .",1
"disney 's live-action division history releasing cinematic flotsam , one occasion unearthed rare gem .",1
"message seems facile earlier film , image terrible beauty may care .",1
"whether kiss future cult classic destined completely forgotten open question , risk-takers crowd check form opinion .",1
"moment account life artist frida kahlo among cinema 's finest year . unfortunately , 're sandwiched impossibly dry account kahlo 's life imaginable .",1
moment heart-rending honest unaffected ( gentle ) way .,1
stay clear reminding 's `` true story `` 're likely one helluva time movie .,1
enough twist tale make far satisfying almost horror film recent memory .,1
"sundance film festival become buzz-obsessed fan producer descend upon utah january ferret next great thing . 'tadpole ' one film declared year , 's really next pretty good thing .",1
"working elliott 's memoir , rohmer fashion sort delicate , articulate character- and- relationship study 's favored decade .",1
"story feel like serious read , filled heavy dos always enticing sayles dialogue .",1
really count . . . bloody sunday connects visceral level transcends language .,1
"crime matter less character , although filmmaker supply enough complication , close call double-crosses satisfy u .",1
[ ] hilarious romantic comedy .,1
